,,ANSWERID,Question,Answer,URL,llama3.1,CorrectedQuestions
0,0,ADAM_0003147_Sec1.txt,What is (are) Polycystic ovary syndrome ? (Also called: Polycystic ovaries; Polycystic ovary disease; Stein-Leventhal syndrome; Polyfollicular ovarian disease),"Polycystic ovary syndrome is a condition in which a woman has an imbalance of female sex hormones. This may lead to changes in the menstrual cycle, cysts in the ovaries, trouble getting pregnant, and other health problems.)",https://www.nlm.nih.gov/medlineplus/ency/article/000369.htm,"Polycystic ovary syndrome (PCOS) is a common health condition affecting women of childbearing age. PCOS affects how the ovaries function, causing the ovaries to produce an abnormal amount of hormones. This can lead to infertility and other health problems. PCOS is a chronic condition that can be managed with lifestyle changes and medication. Treatment options include birth control pills, metformin, and other medications. With proper treatment, women with PCOS can have healthy pregnancies and live normal lives.<|end_of_text|>",What is (are) Polycystic ovary syndrome ? (Also called: Polycystic ovaries; Polycystic ovary disease; Stein-Leventhal syndrome; Polyfollicular ovarian disease)
1,1,ADAM_0003147_Sec2.txt,What causes Polycystic ovary syndrome ? (Also called: Polycystic ovaries; Polycystic ovary disease; Stein-Leventhal syndrome; Polyfollicular ovarian disease),"PCOS is linked to changes in hormone levels that make it harder for the ovaries to release fully-grown (mature) eggs. The reasons for these changes are unclear. The hormones affected are: - Estrogen and progesterone, the female hormones that help a woman's ovaries release eggs  - Androgen, a male hormone that is found in small amounts in women  Normally, one or more eggs are released during a woman's cycle. This is known as ovulation. In most cases, this release of eggs occurs about 2 weeks after the start of a menstrual period.  In PCOS, mature eggs are not released. Instead, they stay in the ovaries with a small amount of fluid around them. There can be many of these. However, not all women with the condition will have ovaries with this appearance.  These problems with the release of eggs can contribute to infertility. The other symptoms of this disorder are due to thehormoneimbalances. Most of the time, PCOS is diagnosed in women in their 20s or 30s. However, it may also affect teenage girls. The symptoms often begin when a girl's periods start. Women with this disorder often have a mother or sister who has similar symptoms.)",https://www.nlm.nih.gov/medlineplus/ency/article/000369.htm,"Polycystic ovary syndrome (PCOS) is a condition in which a woman's ovaries produce an abnormal amount of hormones. The hormones are estrogen, progesterone, and androgen. Androgen is a type of hormone that is normally produced by men and women. The ovaries may also get larger than normal and contain many small cysts. PCOS is a common cause of female infertility.",What causes Polycystic ovary syndrome ? (Also called: Polycystic ovaries; Polycystic ovary disease; Stein-Leventhal syndrome; Polyfollicular ovarian disease)
2,2,ADAM_0002818_Sec7.txt,What are the complications of Noonan syndrome ?,"Buildup of fluid in tissues of body (lymphedema, cystic hygroma) - Failure to thrive in infants - Low self-esteem - Infertility in males if both testes are undescended - Problems with the structure of the heart - Short height - Social problems due to physical symptoms)",https://www.nlm.nih.gov/medlineplus/ency/article/001656.htm,"Noonan syndrome is a genetic disorder that affects many parts of the body, including the heart, blood vessels, and bones. People with Noonan syndrome may have a variety of complications, including:","What are the medical, developmental, and social complications of Noonan syndrome, such as lymphedema, infertility, heart defects, and social challenges?"
3,3,ADAM_0002818_Sec9.txt,How to prevent Noonan syndrome ?,Couples with a family history of Noonan syndrome may want to consider genetic counseling before having children.),https://www.nlm.nih.gov/medlineplus/ency/article/001656.htm,"Noonan syndrome is a genetic disorder that affects the development of the heart, lungs, and skeleton. It is caused by mutations in the gene that codes for the protein Noonan.",How to prevent Noonan syndrome ?
4,4,GARD_0004375_Sec1.txt,What are the symptoms of Neurofibromatosis-Noonan syndrome ? (Also called: NFNS; Noonan neurofibromatosis syndrome; Neurofibromatosis with Noonan phenotype; Neurofibromatosis),"The Human Phenotype Ontology provides the following list of signs and symptoms for Neurofibromatosis-Noonan syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the helix 90% Abnormality of the pulmonary valve 90% Aplasia/Hypoplasia of the abdominal wall musculature 90% Cafe-au-lait spot 90% Cognitive impairment 90% Hypertelorism 90% Hypertrophic cardiomyopathy 90% Low-set, posteriorly rotated ears 90% Ptosis 90% Short stature 90% Webbed neck 90% Abnormality of coagulation 50% Abnormality of the lymphatic system 50% Abnormality of the thorax 50% Cryptorchidism 50% Feeding difficulties in infancy 50% Lisch nodules 5% Autosomal dominant inheritance - Axillary freckling - Cubitus valgus - Delayed speech and language development - Depressed nasal bridge - Epicanthus - Hypoplasia of midface - Inguinal freckling - Low posterior hairline - Low-set ears - Macrocephaly - Malar flattening - Muscle weakness - Neurofibromas - Optic glioma - Pectus excavatum of inferior sternum - Posteriorly rotated ears - Prominent nasolabial fold - Pulmonic stenosis - Scoliosis - Secundum atrial septal defect - Short neck - Specific learning disability - Superior pectus carinatum - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.)",https://rarediseases.info.nih.gov/diseases/372/neurofibromatosis-noonan-syndrome,"Neurofibromatosis-Noonan syndrome is a rare genetic disorder that affects multiple body systems, including the nervous system, skeletal system, and cardiovascular system. The signs and symptoms of Neurofibromatosis-Noonan syndrome can vary greatly from person to person, but common features include cafe-au-lait spots, cardiac abnormalities, and skeletal defects.","What are the detailed signs and symptoms of Neurofibromatosis-Noonan syndrome, including their frequency and common clinical features such as cafe-au-lait spots, cardiac abnormalities, and skeletal defects?"
5,5,GARD_0004450_Sec3.txt,Is Noonan syndrome inherited ?,"Noonan syndrome is inherited in an autosomal dominant manner. This means that having one changed (mutated) copy of the responsible gene in each cell is enough to cause the condition. Each child of a person with Noonan syndrome has a 50% (1 in 2) chance to inherit the condition. In some cases, the condition is inherited from an affected parent. Because the features of the condition can vary and may be very subtle, many affected adults are diagnosed only after the birth of a more obviously affected infant. In other cases, the condition is caused by a new mutation occurring for the first time in the affected person.)",https://rarediseases.info.nih.gov/diseases/10955/noonan-syndrome,"Noonan syndrome is inherited in an autosomal dominant pattern, meaning that one copy of the responsible gene in each cell is typically sufficient to cause the condition. The likelihood of an affected individual passing the condition on to their children depends on the specific genetic mutation involved. For some mutations, the condition is caused by a new mutation (not inherited) and therefore cannot be passed on to children. For other mutations, the condition is inherited from a parent and may be passed on to children with a 50% chance of occurrence.<|end_of_text|>","How is Noonan syndrome inherited, what genetic pattern does it follow, and what is the likelihood of an affected individual passing it on to their children?"
6,6,GARD_0004450_Sec4.txt,What are the treatments for Noonan syndrome ?,Management generally focuses on the specific signs and symptoms present in each person. Treatments for the complications of Noonan syndrome (such as cardiovascular abnormalities) are generally standard and do not differ from treatment in the general population. Developmental disabilities are addressed by early intervention programs and individualized education strategies. Treatment for serious bleeding depends upon the specific factor deficiency or platelet abnormality. Growth hormone treatment increases growth velocity. More detailed information about treatment for Noonan syndrome can be viewed on the GeneReviews Web site.),https://rarediseases.info.nih.gov/diseases/10955/noonan-syndrome,"Noonan syndrome is a genetic condition that affects the development of multiple organs and tissues, including the heart, blood vessels, and bones. It is characterized by a wide range of symptoms, including abnormal facial features, heart defects, short stature, and developmental delays.","What are the treatment options and management strategies for Noonan syndrome, including interventions for developmental disabilities, cardiovascular abnormalities, and growth issues?"
7,7,GHR_0000804_Sec2.txt,How many people are affected by polycystic kidney disease ? (Also called: PKD; polycystic renal disease),"Polycystic kidney disease is a fairly common genetic disorder. It affects about 500,000 people in the United States. The autosomal dominant form of the disease is much more common than the autosomal recessive form. Autosomal dominant polycystic kidney disease affects 1 in 500 to 1,000 people, while the autosomal recessive type occurs in an estimated 1 in 20,000 to 40,000 people.",https://ghr.nlm.nih.gov/condition/polycystic-kidney-disease,"There are an estimated 10 million people worldwide with polycystic kidney disease (PKD), including 600,000 in the United States (US). PKD is the most common inherited kidney disease, affecting approximately 1 in every 500 to 1000 live births. The prevalence of autosomal dominant PKD is 1 in 400 to 1000, and the prevalence of autosomal recessive PKD is 1 in 20,000.<|end_of_text|>","How many people are affected by polycystic kidney disease globally and in the United States, and what are the prevalence rates of the autosomal dominant and autosomal recessive forms?"
8,8,ADAM_0002818_Sec1.txt,What is (are) Noonan syndrome ?,Noonan syndrome is a disease that can be passed down through families (inherited). It causes many parts of the body to develop abnormally.),https://www.nlm.nih.gov/medlineplus/ency/article/001656.htm,"Noonan syndrome (NS) is a rare genetic condition that causes abnormalities in the heart, face, and skeleton. It is characterized by a distinctive facial appearance, short stature, and a range of other physical and developmental problems. NS is caused by mutations in several different genes, including PTPN11, SOS1, RAF1, and KRAS. The condition is inherited in an autosomal dominant pattern, meaning that one copy of the mutated gene is sufficient to cause the disorder. Treatment for NS typically involves managing the associated physical and developmental problems, as well as monitoring for potential complications. Surgical interventions may be required to address heart defects, and physical therapy may be helpful for improving mobility and coordination. In some cases, genetic counseling may be recommended to discuss options for prenatal diagnosis and carrier screening for at-risk individuals. Overall, Noonan syndrome is a complex condition that requires a multidisciplinary approach to care and management.",What is (are) Noonan syndrome ?
9,9,GARD_0004450_Sec1.txt,What is (are) Noonan syndrome ?,"Noonan syndrome is a genetic disorder that causes abnormal development of multiple parts of the body. Features of Noonan syndrome may include a distinctive facial appearance, short stature, a broad or webbed neck, congenital heart defects, bleeding problems, skeletal malformations, and developmental delay. Noonan syndrome may be caused by mutations in any one of several genes including the PTPN11, KRAS, RAF1, SOS1, NRAS and BRAF genes. It is sometimes referred to as a specific subtype based on the responsible gene in an affected person. Noonan syndrome is typically inherited in an autosomal dominant manner but many cases are due to a new mutation and are not inherited from an affected parent.)",https://rarediseases.info.nih.gov/diseases/10955/noonan-syndrome,"Noonan syndrome is a genetic disorder that affects the development of many parts of the body. It is characterized by a distinctive facial appearance, short stature, and heart defects. Noonan syndrome is caused by mutations in the PTPN11 gene, which encodes a protein called protein tyrosine phosphatase non-receptor type 11. This protein plays a role in regulating cell growth and differentiation. Noonan syndrome is inherited in an autosomal dominant manner, meaning that a single copy of the mutated gene is sufficient to cause the condition. The condition is typically diagnosed in childhood, but it can also be diagnosed in adults. Treatment for Noonan syndrome typically focuses on managing the associated medical problems, such as heart defects and developmental delays. There is no cure for Noonan syndrome, but early diagnosis and treatment can help improve the quality of life for affected individuals.<|end_of_text|>",What is (are) Noonan syndrome ?
